DATE,COUNTY,TOTAL_CASES,NEW_CASES,TOTAL_CONFIRMED,NEW_CONFIRMED,TOTAL_PROBABLE,NEW_PROBABLE,POS_TESTS,NEW_POS_TESTS,NEG_TESTS,NEW_NEG_TESTS,TOTAL_TESTS,NEW_TESTS,NEW_DEATHS,TOTAL_DEATHS,NEW_RECOVERED,TOTAL_RECOVERED,NEW_ACTIVE,TOTAL_ACTIVE,NEW_HOSPITALIZED,TOTAL_HOSPITALIZED
03-22-20,Henderson,,,,,,,,,,,,,,,,,,,,
03-22-20,Houston,1,,,,,,,,,,,,,,,,,,,
03-22-20,Humphreys,,,,,,,,,,,,,,,,,,,,
03-22-20,Jefferson,2,1,,,,,,,,,,,,,,,,,,
03-22-20,Knox,5,1,,,,,,,,,,,,,,,,,,
03-22-20,Loudon,1,,,,,,,,,,,,,,,,,,,
03-22-20,Madison,,,,,,,,,,,,,,,,,,,,
03-22-20,Marion,1,,,,,,,,,,,,,,,,,,,
03-22-20,Maury,2,1,,,,,,,,,,,,,,,,,,
03-22-20,McMinn,1,,,,,,,,,,,,,,,,,,,
03-22-20,Monroe,3,0,,,,,,,,,,,,,,,,,,
03-22-20,Montgomery,3,0,,,,,,,,,,,,,,,,,,
03-22-20,Out of State,82,23,,,,,,,,,,,,,,,,,,
03-22-20,Pending,30,20,,,,,,,,,,,,,,,,,,
03-22-20,Perry,1,,,,,,,,,,,,,,,,,,,
03-22-20,Putnam,6,1,,,,,,,,,,,,,,,,,,
03-22-20,Roane,1,0,,,,,,,,,,,,,,,,,,
03-22-20,Robertson,3,1,,,,,,,,,,,,,,,,,,
03-22-20,Rutherford,8,3,,,,,,,,,,,,,,,,,,
03-22-20,Scott,2,0,,,,,,,,,,,,,,,,,,
03-22-20,Sevier,1,-1,,,,,,,,,,,,,,,,,,
03-22-20,Shelby,66,26,,,,,,,,,,,,,,,,,,
03-22-20,Sullivan,1,0,,,,,,,,,,,,,,,,,,
03-22-20,Sumner,22,11,,,,,,,,,,,,,,,,,,
03-22-20,Tipton,5,3,,,,,,,,,,,,,,,,,,
03-22-20,Washington,2,0,,,,,,,,,,,,,,,,,,
03-22-20,Williamson,48,1,,,,,,,,,,,,,,,,,,
03-22-20,Wilson,2,-1,,,,,,,,,,,,,,,,,,
03-23-20,Anderson,1,0,,,,,,,,,,,,,,,,,,
03-23-20,Bedford,,,,,,,,,,,,,,,,,,,,
03-23-20,Bledsoe,,,,,,,,,,,,,,,,,,,,
03-23-20,Blount,2,1,,,,,,,,,,,,,,,,,,
03-23-20,Bradley,1,-1,,,,,,,,,,,,,,,,,,
03-23-20,Campbell,2,0,,,,,,,,,,,,,,,,,,
03-23-20,Cannon,,,,,,,,,,,,,,,,,,,,
03-23-20,Carroll,2,0,,,,,,,,,,,,,,,,,,
03-23-20,Cheatham,4,0,,,,,,,,,,,,,,,,,,
03-23-20,Chester,1,0,,,,,,,,,,,,,,,,,,
03-23-20,Claiborne,1,,,,,,,,,,,,,,,,,,,
03-23-20,Cocke,1,0,,,,,,,,,,,,,,,,,,
03-23-20,Coffee,,,,,,,,,,,,,,,,,,,,
03-23-20,Cumberland,2,0,,,,,,,,,,,,,,,,,,
03-23-20,Davidson,164,-3,,,,,,,,,,,,,,,,,,
03-23-20,Dekalb,1,,,,,,,,,,,,,,,,,,,
03-23-20,Dickson,5,1,,,,,,,,,,,,,,,,,,
03-23-20,Dyer,2,0,,,,,,,,,,,,,,,,,,
03-23-20,Fayette,2,-1,,,,,,,,,,,,,,,,,,
03-23-20,Franklin,1,0,,,,,,,,,,,,,,,,,,
03-23-20,Gibson,1,0,,,,,,,,,,,,,,,,,,
03-23-20,Greene,4,2,,,,,,,,,,,,,,,,,,
03-23-20,Grundy,,,,,,,,,,,,,,,,,,,,
03-23-20,Hamblen,3,1,,,,,,,,,,,,,,,,,,
03-23-20,Hamilton,12,4,,,,,,,,,,,,,,,,,,
03-23-20,Hardeman,,,,,,,,,,,,,,,,,,,,
03-23-20,Hardin,1,,,,,,,,,,,,,,,,,,,
03-23-20,Houston,1,0,,,,,,,,,,,,,,,,,,
03-23-20,Jefferson,3,1,,,,,,,,,,,,,,,,,,
03-23-20,Knox,12,7,,,,,,,,,,,,,,,,,,
03-23-20,Lincoln,1,,,,,,,,,,,,,,,,,,,
03-23-20,Loudon,1,0,,,,,,,,,,,,,,,,,,
03-23-20,Macon,,,,,,,,,,,,,,,,,,,,
03-23-20,Madison,,,,,,,,,,,,,,,,,,,,
03-23-20,Marion,1,0,,,,,,,,,,,,,,,,,,
03-23-20,Maury,6,4,,,,,,,,,,,,,,,,,,
03-23-20,McMinn,2,1,,,,,,,,,,,,,,,,,,
03-23-20,Monroe,2,-1,,,,,,,,,,,,,,,,,,
03-23-20,Montgomery,3,0,,,,,,,,,,,,,,,,,,
03-23-20,Out of State,89,7,,,,,,,,,,,,,,,,,,
03-23-20,Pending,54,24,,,,,,,,,,,,,,,,,,
03-23-20,Perry,2,1,,,,,,,,,,,,,,,,,,
03-23-20,Putnam,6,0,,,,,,,,,,,,,,,,,,
03-23-20,Roane,1,0,,,,,,,,,,,,,,,,,,
03-23-20,Robertson,6,3,,,,,,,,,,,,,,,,,,
03-23-20,Rutherford,9,1,,,,,,,,,,,,,,,,,,
03-23-20,Scott,1,-1,,,,,,,,,,,,,,,,,,
03-23-20,Sevier,1,0,,,,,,,,,,,,,,,,,,
03-23-20,Shelby,93,27,,,,,,,,,,,,,,,,,,
03-23-20,Sullivan,2,1,,,,,,,,,,,,,,,,,,
03-23-20,Sumner,34,12,,,,,,,,,,,,,,,,,,
03-23-20,Tipton,6,1,,,,,,,,,,,,,,,,,,
03-23-20,Trousdale,,,,,,,,,,,,,,,,,,,,
03-23-20,Unicoi,,,,,,,,,,,,,,,,,,,,
03-23-20,Washington,6,4,,,,,,,,,,,,,,,,,,
03-23-20,Weakley,1,,,,,,,,,,,,,,,,,,,
03-23-20,White,,,,,,,,,,,,,,,,,,,,
03-23-20,Williamson,53,5,,,,,,,,,,,,,,,,,,
03-23-20,Wilson,6,4,,,,,,,,,,,,,,,,,,
03-24-20,Anderson,1,0,,,,,,,,,,,,,,,,,,
03-24-20,Benton,,,,,,,,,,,,,,,,,,,,
