date_stamp,age_group,cnt_confirmed,cnt_confirmed_new,pct_confirmed,pct_confirmed_new,cnt_death,cnt_death_new
2020-05-05,71,664,5,4.8503,4.2017,62.0,3.0
2020-05-05,99,212,-4,1.5486,-3.3613,0.0,0.0
2020-05-05,51,2228,21,16.2747,17.6471,17.0,0.0
2020-05-05,21,2685,16,19.6129,13.4454,1.0,0.0
2020-05-05,31,2604,22,19.0212,18.4874,3.0,0.0
2020-05-05,11,817,11,5.9679,9.2437,1.0,0.0
2020-05-05,00,290,9,2.1183,7.563,1.0,0.0
2020-05-05,41,2421,16,17.6844,13.4454,10.0,0.0
2020-05-06,81,424,10,3.042,3.1646,84.0,4.0
2020-05-06,71,676,12,4.8501,3.7975,68.0,6.0
2020-05-06,61,1381,26,9.9082,8.2278,52.0,1.0
2020-05-06,51,2263,35,16.2362,11.0759,19.0,2.0
2020-05-06,99,212,0,1.521,0.0,0.0,0.0
2020-05-06,31,2655,51,19.0486,16.1392,3.0,0.0
2020-05-06,21,2753,68,19.7518,21.519,1.0,0.0
2020-05-06,11,868,51,6.2276,16.1392,1.0,0.0
2020-05-06,00,304,14,2.1811,4.4304,1.0,0.0
2020-05-06,41,2470,49,17.7213,15.5063,10.0,0.0
