hash,date_stamp,datetime_checked,us_state_postal,us_state_fips,cnt_tested_pos,cnt_tested_pos_new,cnt_tested_neg,cnt_tested_neg_new,cnt_tested_pending,cnt_recovered,cnt_death,cnt_death_new,cnt_hospitalized,cnt_hospitalized_new,cnt_hospitalized_current,cnt_icu_current,cnt_icu_total,cnt_vent_current,cnt_vent_total,cnt_tested,cnt_tested_new
29144d96e72a3486a642279346dd6455e2d33866,2020-08-19,2020-08-19 15:50:00,GA,13,243982,2305,1831715,13073,,,4849,55,22664,235,2573,,4143,,,2075697,15378
a3204b6557cc732ffe13c013c5b19f079c817b38,2020-08-19,2020-08-18 23:50:00,GU,66,599,22,29151,502,,363,5,0,,0,14,4,,,,29750,524
fdd8ca612e18311ac06ef4777b62ed3bc9f455e3,2020-08-19,2020-08-19 00:52:00,HI,15,5609,394,160504,1520,,1977,42,2,303,15,205,39,,22,,166113,1914
6d28a8c759a67165fc97e1c6ebedb43046e6ad28,2020-08-19,2020-08-19 00:00:00,IA,19,53288,337,509034,4887,,41837,1006,17,,0,299,90,,33,,562322,5224
89372896288fe72ae2da712ae6393e171e061941,2020-08-19,2020-08-18 19:00:00,ID,16,28326,384,200797,1870,,11397,282,9,1170,41,167,37,328,,,229123,2254
1b43bd5bd7f5c79fea81f46e8df0696587c7639f,2020-08-19,2020-08-19 00:00:00,IL,17,213221,2295,3277682,48004,,,8017,24,,0,1519,334,,144,,3490903,50299
7559f3e4c22471773b031f0a3247862fb2fc5055,2020-08-19,2020-08-18 23:59:00,IN,18,82336,489,851697,4930,,62483,3180,15,10090,53,842,249,2059,88,,934033,5419
f91c48f43faf4f1dd4eaf88743a7c6e163007835,2020-08-19,2020-08-19 10:00:00,KS,20,35890,723,323950,4855,,1472,411,6,2090,56,300,88,567,26,202,359840,5578
dd3bcfb3eaa436cdd8e56255e894e6d0d9c16fb8,2020-08-19,2020-08-19 00:00:00,KY,21,40926,627,689894,3293,,9331,842,12,4301,49,640,155,1332,,,730820,3920
4bb0b59a123e7600008d3c69ed2a84e5654de3bc,2020-08-19,2020-08-19 13:00:00,LA,22,139903,778,1565071,14205,,118120,4609,55,,0,1160,,,175,,1704974,14983
34fa67849422dcd3ebd7856c3bd6a7a5bd63fd21,2020-08-19,2020-08-19 10:00:00,MA,25,124415,827,1372225,19246,,102205,8876,37,12213,21,365,66,,27,,1496640,20073
35d0873df2257eca20b6fbb4cdec63c533edefca,2020-08-19,2020-08-19 10:00:00,MD,24,101649,414,1074119,8049,,6030,3661,11,13744,46,475,107,,,,1175768,8463
8ecd4c67de3f26611ae91c45d9450c4e6e9dc9d4,2020-08-19,2020-08-18 23:59:00,ME,23,4234,21,213008,2895,,3662,127,0,403,2,9,2,,1,,217242,2916
